pillar_id,group,display_name,proposed_path,existing_owner,gsc_clicks,gsc_impressions,semantic_equivalent,decision,final_canonical,redirect_required,publication_status,notes
P01,core-protocol,MCP Protocol Overview,/learn/model-context-protocol,/learn/model-context-protocol,0,0,"What the Model Context Protocol is, why it exists, and how it works.",KEEP_EXISTING_CANONICAL,/learn/model-context-protocol,no,published,
P02,core-protocol,MCP Server Directory,/servers,/servers,0,0,Catalog of MCP servers for browsing and discovery.,EVIDENCE_REVIEW,/servers,no,published,
P03,core-protocol,MCP Client Implementations,/clients,/clients,0,82,Setup and configuration guides for MCP client applications.,KEEP_EXISTING_CANONICAL,/clients,no,published,
P04,core-protocol,MCP Stdio Transport,/learn/mcp-stdio,/learn/mcp-stdio,0,0,The local stdio transport: process spawn and JSON-RPC over stdin/stdout.,KEEP_EXISTING_CANONICAL,/learn/mcp-stdio,no,published,
P05,core-protocol,MCP Streamable HTTP Transport,/learn/mcp-streamable-http,/learn/mcp-streamable-http,0,0,The remote Streamable HTTP transport: POST + SSE for server-to-client streaming.,KEEP_EXISTING_CANONICAL,/learn/mcp-streamable-http,no,published,Modern MCP uses Streamable HTTP. The proposed clean path /transport-http is kept as umbrella alias but the existing /learn/mcp-streamable-http retains equity.
P06,core-protocol,MCP Tool Definitions,/learn/mcp-tools,/learn/mcp-tools,0,0,"MCP tools: discovery, schemas, invocation, and security.",KEEP_EXISTING_CANONICAL,/learn/mcp-tools,no,published,
P07,core-protocol,MCP Resource Templates,/learn/mcp-resources,/learn/mcp-resources,0,0,"MCP resources: URIs, listing, reading, and how resources differ from tools.",KEEP_EXISTING_CANONICAL,/learn/mcp-resources,no,published,
P08,core-protocol,MCP Prompts & Interactions,/learn/mcp-prompts,/learn/mcp-prompts,0,0,MCP prompts: reusable invocation templates and how prompts differ from tools.,KEEP_EXISTING_CANONICAL,/learn/mcp-prompts,no,published,
P09,core-protocol,MCP Sampling & LLM Calls,/learn/mcp-architecture,/learn/mcp-architecture,0,0,"Sampling, capability negotiation, and the host-client-server architecture.",KEEP_EXISTING_CANONICAL,/learn/mcp-architecture,no,published,Sampling is a server-side concept covered under architecture; no dedicated pillar currently exists.
P10,core-protocol,MCP Authentication,/security/authentication,/security/authentication,0,0,"MCP authentication: bearer tokens, OAuth, scopes, and RBAC.",KEEP_EXISTING_CANONICAL,/security/authentication,no,published,
P11,data-integrations,MCP Database Servers,/guides/mcp-servers-for-databases,/guides/mcp-servers-for-databases,0,0,MCP servers for databases: read-only access and connection security.,KEEP_EXISTING_CANONICAL,/guides/mcp-servers-for-databases,no,published,
P12,data-integrations,MCP File System Servers,/filesystem-servers,,0,0,MCP servers that expose file system operations through tools.,EVIDENCE_REVIEW,/filesystem-servers,no,review,No published pillar currently exists for file-system servers. Awaiting editorial content.
P13,data-integrations,MCP Git & Repository Servers,/guides/best-mcp-server-for-github,/guides/best-mcp-server-for-github,0,0,"MCP servers for version control: GitHub, GitLab, and read-only repository access.",KEEP_EXISTING_CANONICAL,/guides/best-mcp-server-for-github,no,published,
P14,data-integrations,MCP API & REST Servers,/api-servers,,0,0,MCP servers that expose REST APIs and external services.,EVIDENCE_REVIEW,/api-servers,no,review,No published pillar currently exists for API & REST servers. Awaiting editorial content.
P15,data-integrations,MCP Cloud Infrastructure Servers,/guides/mcp-devops,/guides/mcp-devops,0,0,"MCP servers for infrastructure, deployment, cloud, and CI/CD.",KEEP_EXISTING_CANONICAL,/guides/mcp-devops,no,published,
P16,data-integrations,MCP Knowledge Base & RAG Servers,/rag-servers,,0,0,MCP servers for knowledge base access and retrieval-augmented generation.,EVIDENCE_REVIEW,/rag-servers,no,review,RAG servers are emerging; no dedicated pillar yet. Awaiting editorial content.
P17,data-integrations,MCP Spreadsheet & Data Servers,/spreadsheet-servers,,0,0,MCP servers for spreadsheet and structured data manipulation.,EVIDENCE_REVIEW,/spreadsheet-servers,no,review,No published pillar yet. Awaiting editorial content.
P18,data-integrations,MCP Communication Servers,/communication-servers,,0,0,"MCP servers for messaging, email, and team communication.",EVIDENCE_REVIEW,/communication-servers,no,review,No published pillar yet. Awaiting editorial content.
P19,data-integrations,MCP Calendar & Scheduling Servers,/calendar-servers,,0,0,MCP servers for calendar access and scheduling automation.,EVIDENCE_REVIEW,/calendar-servers,no,review,No published pillar yet. Awaiting editorial content.
P20,data-integrations,MCP CRM & Business Servers,/crm-servers,,0,0,"MCP servers for CRM, sales, and business workflow tools.",EVIDENCE_REVIEW,/crm-servers,no,review,No published pillar yet. Awaiting editorial content.
P21,developer-tools,MCP SDK & Libraries,/build/mcp-server,/build/mcp-server,0,0,Official and community SDKs for building MCP servers and clients.,KEEP_EXISTING_CANONICAL,/build/mcp-server,no,published,
P22,developer-tools,MCP Server Boilerplates,/boilerplates,,0,0,Boilerplate templates and starter projects for MCP servers.,EVIDENCE_REVIEW,/boilerplates,no,review,No published pillar yet. Awaiting editorial content.
P23,developer-tools,MCP Testing & Debugging,/testing-debugging,,0,0,Tools and techniques for testing and debugging MCP servers and clients.,EVIDENCE_REVIEW,/testing-debugging,no,review,No published pillar yet. Awaiting editorial content.
P24,developer-tools,MCP Schema Validators,/schema-validators,,0,0,Validators for server.json and tool input schemas.,EVIDENCE_REVIEW,/schema-validators,no,review,No published pillar yet. Awaiting editorial content.
